ProcName,Path,ProcessId,_time,app,app:able_to_transfer_file,app:category,app:default_ports,app:evasive,app:excessive_bandwidth,app:has_known_vulnerability,app:risk,app:subcategory,app:used_by_malware,application,bytes_in,bytes_out,dest_port,protocol,src_ip,threat:category,threat:cve,threat:severity,threat_id,threat_name,transport,type,url,DriveType,FileSystem,FreeSpaceKB,DriveName,TotalSpaceKB,UsedSpaceKB,EventCode,Logon_ID,User,Event_time,Network_transfer,Network_time,Traffic_type,Reg_time,Rdata,Revent_status,key_path,Rpid,Rprocess_image,registry_type,SEP_time,SEP_action,SEP_app,direction,SEP_local_port,SEP_packet_id,SEP_remote_host,SEP_tag,Serv_Desc,Serv_Name,StartMode,Serv_Started,Serv_time,Attack1,Attack2,Attack3,Attack4,Attack5
1,1,592,125145,1,1,2,253,1,1,2,4,1,2,5,166,81,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920758268,1,976743932,55985664,528,1,1,063100,8850,145257,1,135006,0x4a49ffff(1246363647),0,1,2880,1,2,135415,0,1,1,3212,25276441,10308,0,0,1,2,2,130600,1,0,0,0,0
1,1,5356,125145,1,2,2,280,1,1,2,3,0,1,5,62,603,65000,2,10211,0,0,0,0,0,2,1,0,1,0,920389691,1,976743932,56354241,552,1,10,063100,10714,145257,1,135006,0,0,1,2880,1,1,135415,0,1,1,4487,25276440,10121,1,0,1,1,2,130600,1,0,0,0,0
1,1,10164,125145,1,2,1,280,1,1,2,4,4,2,3,62,603,65000,2,10211,0,0,0,0,0,2,1,0,1,0,920634744,1,976743932,56109188,680,0,1,063100,6915,145257,1,135006,0,0,1,6704,1,1,135415,0,1,2,4487,25276439,10121,1,1,1,1,1,130600,1,0,0,0,0
1,1,10188,125140,1,1,2,253,1,1,2,4,1,2,5,75,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920596732,1,976743932,56147200,538,1,1,063000,3798,145257,1,135005,0,0,1,10816,1,1,135415,0,1,1,4487,25276438,10121,1,1,1,2,2,130600,1,0,0,0,0
1,1,9060,125140,1,2,1,280,1,1,2,4,4,2,3,62,326,65000,2,10308,0,0,0,0,0,2,1,0,1,0,920896504,1,976743932,55847428,576,1,1,063000,691332,145101,1,135005,0,0,1,10816,1,1,135415,0,1,2,3212,25276437,10308,0,1,1,1,1,130600,1,0,0,0,0
1,1,6360,125139,1,1,2,253,1,1,2,4,1,2,5,75,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920995689,1,976743932,55748243,528,1,1,063000,345666,145101,1,135005,0,0,1,6704,1,1,135415,0,1,2,4487,25276436,10121,1,1,1,1,2,130600,1,0,0,0,0
1,1,4740,125139,1,1,2,253,1,1,2,4,1,2,5,75,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920513979,1,976743932,56229953,552,1,10,063000,345666,145101,1,135004,0,0,1,10816,1,1,135415,0,1,1,4487,25276435,10121,1,1,1,2,2,130600,1,0,0,0,0
1,1,6412,125139,1,1,2,253,1,1,2,4,1,2,5,75,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920863741,1,976743932,55880191,680,0,1,063000,1087,145101,1,135004,0,0,1,10816,1,1,135415,0,1,2,4487,25276434,10121,1,1,1,1,1,130600,1,0,0,0,0
1,1,7412,125138,1,1,2,2146,1,1,2,2,5,1,5,0,518,65000,1,223104,0,0,0,0,0,1,1,0,1,0,920614113,1,976743932,56129819,538,1,1,063000,161,145101,1,135004,0,0,1,10816,1,1,135415,0,1,1,4487,25276433,10121,1,0,1,2,2,130600,1,0,0,0,0
1,1,7204,125138,1,1,2,2146,1,1,2,2,5,1,5,0,518,65000,1,223104,0,0,0,0,0,1,1,0,1,0,920486681,1,976743932,56257251,576,1,1,063000,926,145101,1,135004,0x4a49ffff(1246363647),0,1,3556,1,2,135415,0,1,2,4487,25276432,10121,1,1,1,2,2,130600,1,0,0,0,0
1,1,6676,125138,1,1,2,2137,1,1,2,2,1,1,0,0,92,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920095155,1,976743932,56648777,528,1,1,063000,21511,144757,1,135004,0,0,1,3556,1,1,135415,0,1,1,4487,25276431,10121,1,1,1,2,2,130600,1,0,0,0,0
1,1,6508,125134,1,1,2,2137,1,1,2,2,1,1,0,0,92,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920271161,1,976743932,56472771,552,1,10,063000,10755,144757,1,135004,0,0,1,6704,1,1,135415,0,1,1,4487,25276430,10121,1,0,1,1,1,130600,1,0,0,0,0
